Log hazard Stroke,Log hazard MI,Log hazard Bleed,Log hazard ICH,Log hazard Death,Log hazard SE,Log hazard TIA
-4.403,-4.859,-2.538,-4.105,-3.053,-4.111,-3.168
-4.402,-4.769,-2.549,-4.363,-3.315,-4.409,-3.639
-4.404,-4.773,-2.816,-4.332,-3.365,-3.918,-4.033
-4.406,-4.84,-2.753,-4.618,-3.311,-5.045,-3.871
-4.404,-4.815,-3.042,-4.802,-3.223,-4.264,-4.165
-4.406,-4.67,-2.692,-4.569,-3.162,-3.476,-3.755
-4.406,-4.806,-2.998,-4.618,-3.333,-3.317,-3.98
-4.403,-4.816,-3.213,-4.636,-3.249,-3.479,-5.084
-4.403,-4.845,-3.065,-4.728,-3.15,-4.131,-5.391
-4.404,-4.833,-3.236,-4.779,-3.138,-4.022,-4.825
-4.405,-4.877,-2.898,-4.602,-3.165,-4.59,-4.209
-4.404,-4.824,-3.159,-4.57,-3.211,-4.526,-5.142
-4.408,-4.881,-3.016,-4.689,-3.299,-4.124,-3.987
-4.409,-4.878,-3.109,-4.789,-3.581,-4.381,-3.1
-4.404,-4.868,-3.194,-4.828,-3.17,-3.514,-4.39
-4.408,-4.909,-2.593,-4.282,-2.922,-4.111,-3.564
-4.404,-4.9,-2.621,-4.23,-3.578,-4.146,-3.277
-4.405,-4.892,-2.279,-4.641,-3.47,-4.103,-3.838
-4.403,-4.927,-2.823,-4.917,-3.141,-3.539,-4.525
-4.407,-4.916,-3.347,-4.733,-3.298,-3.941,-3.985
-4.402,-4.88,-3.142,-4.91,-3.268,-3.337,-4.82
-4.404,-4.899,-2.441,-4.727,-3.224,-3.379,-3.785
-4.406,-4.898,-2.485,-4.984,-3.278,-4.14,-3.779
-4.407,-4.935,-2.68,-4.413,-3.28,-3.656,-3.937
-4.408,-4.927,-2.85,-4.484,-3.292,-3.571,-3.195
-4.407,-4.914,-2.492,-4.501,-3.242,-4.117,-4.149
-4.409,-4.916,-3.293,-4.704,-3.316,-4.521,-4.181
-4.409,-4.944,-2.754,-5.157,-3.281,-4.109,-4.174
-4.408,-4.831,-2.638,-4.763,-2.998,-3.794,-4.106
-4.409,-4.939,-2.91,-4.964,-3.081,-4.179,-4.611
-4.411,-4.853,-3.613,-4.847,-3.58,-3.886,-4.601
-4.413,-4.972,-3.589,-4.839,-3.076,-4.206,-3.652
-4.41,-4.956,-3.227,-4.906,-3.259,-3.175,-3.753
-4.407,-4.939,-3.682,-4.66,-3.032,-3.909,-4.505
-4.41,-4.931,-3.101,-4.806,-3.514,-4.274,-4.704
-4.409,-4.958,-3.048,-5.139,-3.334,-4.462,-4.151
-4.411,-4.851,-3.245,-4.613,-3.382,-3.924,-3.541
-4.41,-4.89,-2.993,-4.91,-3.316,-5.207,-4.016
-4.413,-4.828,-3.183,-4.806,-3.377,-3.661,-4.004
-4.415,-4.811,-2.89,-5.335,-3.698,-3.594,-4.064
-4.414,-4.849,-2.287,-4.77,-3.289,-4.257,-3.965
-4.411,-4.842,-2.239,-5.01,-3.562,-3.679,-2.348
-4.411,-4.771,-2.247,-4.732,-3.425,-3.876,-4.603
-4.413,-4.761,-3.705,-5.003,-3.522,-4.251,-4.359
-4.414,-4.883,-2.534,-4.871,-3.379,-3.965,-5.181
-4.414,-4.745,-2.614,-4.944,-3.409,-3.355,-4.752
-4.414,-4.673,-2.65,-4.878,-3.321,-4.092,-5.047
-4.416,-4.823,-2.688,-4.698,-3.387,-3.519,-4.479
-4.413,-4.885,-3.332,-5.684,-3.137,-3.467,-3.786
-4.416,-4.837,-2.479,-5.045,-3.336,-4.447,-4.612
-4.414,-4.878,-2.135,-5.161,-3.333,-3.344,-4.71
-4.416,-4.766,-2.557,-4.606,-3.19,-3.829,-3.833
-4.417,-4.8,-2.72,-4.83,-3.452,-3.429,-3.005
-4.415,-4.885,-3.726,-4.589,-3.343,-4.158,-3.673
-4.411,-4.837,-3.374,-4.868,-3.218,-3.644,-3.103
-4.416,-4.896,-2.659,-4.399,-3.287,-4.04,-3.165
-4.417,-4.969,-2.924,-4.45,-3.326,-4.156,-4.732
-4.416,-4.955,-1.982,-4.781,-3.14,-4.143,-3.944
-4.414,-4.942,-2.932,-4.249,-3.308,-5.353,-4.098
